SITE,DESC,JAN,FEB,MAR,APRIL,MAY,JUNE,TOTAL
"5 - 965 Fall River Ave, MA",CABOT CHSE MONTEREY JCK,0,1.00,1.00,1.00,0,0,3.00
"5 - 965 Fall River Ave, MA",BAR S JUMBO MEAT FRANKS     8TO1,1.00,0,0,1.00,0,1.00,3.00
"5 - 965 Fall River Ave, MA",1.5OZ SARGENTO PPRJK COLBY RITZ,0,0,0,0,1.00,2.00,3.00
"5 - 965 Fall River Ave, MA",1.5OZ SARGENTO BRK MNT CHDR,0,0,0,0,0,3.00,3.00
"1- 533 East Main Rd, RI",5.3OZ CHOBANI GRK YOG VANL,0,0,0,0,0,2.00,2.00
"1- 533 East Main Rd, RI",KRAFT MIRACLE WHIP,0,0,0,0,0,2.00,2.00
"1- 533 East Main Rd, RI",KRAFT BBQ SAUCE ORIG,1.00,0,0,0,0,1.00,2.00
"1- 533 East Main Rd, RI",KRAFT JETPUFF MARSHMALLOWS,0,0,0,0,0,2.00,2.00
"2 - 3302 East Main Rd, RI",CABOT CHSE STK SERIOUS SHRP CHDR,1.00,0,0,0,0,1.00,2.00
"2 - 3302 East Main Rd, RI",KRAFT PHIL CREAM CHSE PLN  BRICK,1.00,1.00,0,0,0,0,2.00
"2 - 3302 East Main Rd, RI",12OZ CABOT DIP VEG,0,0,0,0,2.00,0,2.00
"2 - 3302 East Main Rd, RI",KRAFT BBQ SAUCE ORIG,1.00,0,0,0,1.00,0,2.00
"2 - 3302 East Main Rd, RI",KRAFT MIRACLE WHIP,1.00,0,0,1.00,0,0,2.00
"5 - 965 Fall River Ave, MA",CABOT CHSE AMERICAN SLICE,0,0,0,2.00,0,0,2.00
"5 - 965 Fall River Ave, MA",KRAFT AMERICAN CHS SNGL,0,0,0,2.00,0,0,2.00
"5 - 965 Fall River Ave, MA",CABOT CHSE SHRED FANCY,0,2.00,0,0,0,0,2.00
"6 - 1776 Post Road, RI ",CABOT CHSE STK SHARP CHEDD  0046,0,0,1.00,0,1.00,0,2.00
"6 - 1776 Post Road, RI ",5.3OZ CHOBANI FLIP COOKIES N CREAM,2.00,0,0,0,0,0,2.00
"6 - 1776 Post Road, RI ",12OZ CABOT DIP VEG,0,0,0,0,1.00,1.00,2.00
"6 - 1776 Post Road, RI ",KRAFT BBQ SAUCE ORIG,1.00,0,0,0,1.00,0,2.00
"1- 533 East Main Rd, RI",CABOT CHSE SHRED SERIOUS SHRPCHD,0,0,0,0,1.00,0,1.00
"1- 533 East Main Rd, RI",12OZ CABOT DIP VEG,0,0,0,0,1.00,0,1.00
"1- 533 East Main Rd, RI",8OZ CABOT BTR BABY PK,1.00,0,0,0,0,0,1.00
"2 - 3302 East Main Rd, RI",6OZ YOCRUNCH YOG STWB GRANOLA,0,0,0,0,0,1.00,1.00
"2 - 3302 East Main Rd, RI",6OZ YOCRUNCH YOG VANL MM,0,0,0,0,0,1.00,1.00
"2 - 3302 East Main Rd, RI",8OZ CABOT BTR BABY PK,1.00,0,0,0,0,0,1.00
"2 - 3302 East Main Rd, RI",2OZ FIORUCCI MILD SALAMI W AGED CHED,0,0,0,0,0,1.00,1.00
"5 - 965 Fall River Ave, MA",12OZ CABOT DIP VEG,0,0,0,0,1.00,0,1.00
"5 - 965 Fall River Ave, MA",12OZ CABOT DIP RNCH,1.00,0,0,0,0,0,1.00
"5 - 965 Fall River Ave, MA",KRAFT BBQ SAUCE ORIG,0,0,0,1.00,0,0,1.00
"6 - 1776 Post Road, RI ",KRAFT PHIL CREAM CHSE PLN SOFT,0,0,0,0,1.00,0,1.00
"6 - 1776 Post Road, RI ",5.3OZ CHOBANI GRK YOG MNGO,0,0,0,0,0,1.00,1.00
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
